Scientific name,Status url,Primary common name,Class,Order,Family,Global conservation status rank,State conservation status rank,Federal protection,State protection,Species of greatest conservation need,Track status code,Animal / Plant,Guide url,NatureServe Explorer
Quercus shumardii,https://guides.nynhp.org/status/2.158440/,Shumard Oak,Dicotyledoneae (Dicots),Fagales,Fagaceae (Beech Family),G5,S1,,Endangered,,Y,P,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.158440/Quercus_shumardii/
Quiscalus major,https://guides.nynhp.org/status/2.103534/,Boat-tailed Grackle,Aves (Birds),Passeriformes (Perching Birds),Icteridae,G5,S3B,,Protected Bird,,W,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.103534/Quiscalus_major/
Quiscalus quiscula,https://guides.nynhp.org/status/2.105697/,Common Grackle,Aves (Birds),Passeriformes (Perching Birds),Icteridae,G5,S5B,,Protected Bird,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.105697/Quiscalus_quiscula/
Rachycentron canadum,https://guides.nynhp.org/status/2.102743/,Cobia,Actinopterygii (Ray-finned Fishes),Carangiformes,Rachycentridae (cobias),GNR,SNA,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.102743/Rachycentron_canadum/
Racomitrium canescens,https://guides.nynhp.org/status/2.123250/,Hoary woolly moss,Bryopsida,Grimmiales,Grimmiaceae,G5,S1,,,,Y,P,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.123250/Racomitrium_canescens/
Radix auricularia,https://guides.nynhp.org/status/2.113646/,Big-eared Radix,Gastropoda (Gastropods),Basommatophora,Lymnaeidae,G5,SNA,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.113646/Radix_auricularia/
Raja eglanteria,https://guides.nynhp.org/status/2.103368/,Clearnose Skate,Chondrichthyes (Cartilaginous Fishes),Rajiformes,Rajidae (skates),GNR,S5,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.103368/Raja_eglanteria/
Rallus crepitans,https://guides.nynhp.org/status/2.960538/,Clapper Rail,Aves (Birds),Gruiformes (Rails and Cranes),"Rallidae (Rails, Gallinnules, and Coots)",G5,S2S3,,Protected Bird,,Y,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.960538/Rallus_crepitans/
Rallus elegans,https://guides.nynhp.org/status/2.962122/,King Rail,Aves (Birds),Gruiformes (Rails and Cranes),"Rallidae (Rails, Gallinnules, and Coots)",G4,S1B,,Threatened,Yes (high priority),Y,A,https://guides.nynhp.org/king-rail/,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.962122/Rallus_elegans/
Rallus limicola,https://guides.nynhp.org/status/2.106335/,Virginia Rail,Aves (Birds),Gruiformes (Rails and Cranes),"Rallidae (Rails, Gallinnules, and Coots)",G5,S5,,Protected Bird - Game with open season,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.106335/Rallus_limicola/
